# 2026-09-09 26de367b bun gates/perf.ts --pin
| bench         | COMPILER | SEQ-CPU          | PAR-CPU          | PAR-GPU          | OUTPUT     |
|---------------|----------|------------------|------------------|------------------|------------|
| bfs           |   0.358s |   3.508s    1.9M |   0.507s    2.6M |   0.956s   13.9M | 651176970  |
| bitonic       |   0.327s |   5.465s    146M |   1.188s    159M |   1.987s   14.3M | 3787129428 |
| editdist      |   0.337s |   1.926s    2.0M |   0.397s    3.0M |   0.481s   13.8M | 2229810577 |
| gameoflife    |   0.369s |   6.927s    2.0M |   1.154s    2.6M |   0.100s   13.9M | 2016151040 |
| hashmap       |   0.347s |   3.293s    2.3M |   0.517s    9.0M |   1.548s   14.0M | 1307803744 |
| kmeans        |   0.441s |   4.769s   23.5M |   0.987s   21.0M |   0.700s   15.8M | 1616398086 |
| lexer         |   0.338s |   2.323s    1.9M |   0.429s    2.9M |   3.891s   14.1M | 2401049475 |
| mandelbrot    |   0.371s |   4.451s    2.2M |   0.685s    2.8M |   0.068s   13.6M | 3101455856 |
| matmul        |   0.443s |   1.855s    2.8M |   0.377s   15.3M |   0.999s   16.8M | 3797651056 |
| merkle        |   0.358s |   4.171s    130M |   0.777s    131M |   0.081s   13.9M | 3104235417 |
| nbody         |   0.555s |   4.821s    2.1M |   0.726s    2.6M |   0.065s   14.2M | 3516450380 |
| queens        |   0.375s |   4.768s    2.0M |   0.762s    2.5M |   2.683s   13.9M | 2063750025 |
| radix         |   0.313s |   3.785s    651M |   0.759s    615M |   1.028s   14.5M | 1998173798 |
| raytrace      |   0.538s |   4.353s    2.0M |   0.734s    2.6M |   0.395s   14.0M | 1924309504 |
| symreg        |   0.341s |   2.750s    2.0M |   0.473s    3.0M |   0.814s   14.3M | 2383953211 |
| terrain       |   0.439s |   2.150s    2.0M |   0.364s    3.3M |   0.291s   13.9M | 2572468224 |
